taf_00008_00174260673	சுற்றுலா பயணிகளின் வருகை அதிகரித்துள்ளது
taf_00008_00326741737	பசங்க ரெண்டு படத்தை தயாரிக்க என்ன காரணம்
taf_00008_01305524612	மனோரமாவிற்கு பூபதி என்ற மகன் உள்ளார்
taf_00008_01562108675	மணிரத்னத்தின் மௌனராகம் படத்தில் பெண் பார்க்க வரும் மோகன் வீட்டில் காத்திருக்க மழையில் உற்சாக நடனம் போடுவாரே ரேவதி
taf_00008_02077679645	மனித செயல்பாடுகளை நிர்ணயிக்கும் வட மேற்கு மூலை
taf_01484_01414424482	நோக்கியா நிறுவனம் செல்போன் உற்பத்தியை வரும் நவம்பர் ஒன்று முதல் நிறுத்த உள்ளதாக அறிவித்துள்ளது
taf_02027_00150647812	போலியோ அற்ற நாடாக இந்தியா அறிவிப்பு
taf_02042_02083205717	பத்தொன்பது ஆயிரம் ரூபாய்க்கும் கீழே தங்கம் விலை சரிவு
taf_02916_00423473199	நான் பிடித்தமாதிரி வாழ்வதற்கு முழு உரிமை அளிக்க வேண்டும்
taf_02916_01320733205	அணையின் மொத்த நீர்மட்டமான நூறு அடியை தற்போது நெருங்கியுள்ளது
taf_03219_02021837662	நான் என்ன சொன்னாலும் தப்பாக எடுத்துக் கொள்ளமாட்டார்
taf_03822_01416980381	சார் மன்னன் ஆறாம் இவானின் எலும்புகள் ரஷ்யாவில் கண்டுபிடிப்பு
taf_04125_01332720220	பிஸ்கட் போன்ற அதிவேக நுகர்வோர் பொருடகளின் வர்த்தகத்திலும் முன்னணி நிறுவனமாக உள்ளது
taf_04696_00543141999	நேராக செல்க
taf_04696_01066645115	நூறு மீட்டரில்
taf_05572_00636315533	ஐ பி எல் கிரிக்கெட் போட்டியில் சென்னை சூப்பர் கிங்ஸ் அணி சார்பில் ஐந்து சீசன்களில் விளையாடியவர் தென் ஆப்பிரிக்காவைச் சேர்ந்த டூ பிள்ஸ்சிஸ்
taf_06796_02132699293	ஐம்பது மீட்டரில்
taf_06958_00059390243	அதற்குள் தீ மளமள வென பரவி இரண்டு தளங்களிலும் பற்றி எரிந்தது
taf_07049_01445252031	குவாண்டானாமோ விரிகுடாவில் உள்ள அமெரிக்கத் தடுப்பு முகாமுக்கு பத்து ஆண்டுகள் நிறைவு
taf_07367_00568858691	காவல்துறையினர் உள்ளூர் மக்களுடன் நல்லுறவை வளர்த்துக் கொள்ள வேண்டும் நரேந்திர மோடி
taf_07367_00724251941	இக்கட்டான நிலையில் களமிறங்கிய சிக்கந்தர் ரஸா அபாரமாக விளையாடினார்
taf_07894_01018422172	சின்ன வயதில் தான் படித்த நகரி அரசு உயர்நிலைப் பள்ளியின் ஆண்டுவிழாவில் அவர் கலந்து கொண்டார்
taf_08213_01641511558	நடித்த எந்தப் படத்திலும் வேதாளம் அளவுக்கு நடிப்பில் ஸ்கோர் செய்தது இல்லை
taf_09705_00396644453	துலாம் ராசிக்காரர்கள் சூடாகச் சாப்பிடுவார்கள்
tag_00929_02125233502	கவலை அளிக்கும் கன்னட விக்கிப்பீடியாவின் மெதுவான வளர்ச்சி
tag_01424_00201656926	மூலம் நட்சத்திரத்தைப் பொறுத்தவரை ஆனி மூலம் அரசாளும் பின் மூலம் நிர்மூலம் என்று மட்டுமே கூறப்பட்டுள்ளது
tag_01469_00497714959	பணப்புழக்கம் ஓரளவு அதிகரிக்கும்
tag_01818_01785012149	விக்னேஷ் சிவனிடம் அவரது திருமணம் குறித்து கேட்காத நிருபர்கள் என்ன நிருபர்கள்
tag_03777_00145082442	சென்னை உள்ளிட்ட பல்வேறு மாவட்டங்களில் பள்ளி கல்லூரிகளுக்கு இன்று விடுமுறை
tag_03777_00549213225	வட கடலோர மீனவர்கள் மிகுந்த கவனத்துடன் கடலுக்குள் செல்ல வேண்டும்
tag_03777_00684141045	ஜோதிடத்தைப் பொறுத்தவரை புதனை வித்யாகாரகன் என்று அழைப்பர்
tag_03777_00896402377	ஹசாரேயுடன் பேச்சு நடத்தத் தயாரென பிரதமர் அறிவிப்பு
tag_03777_01558414848	மெக்கல்லம் சந்தித்த இரண்டாவது பந்தை அடித்து ஆட முயற்சித்தார்
tag_04140_00296812707	நலிந்த நாடக கலைஞர்களுக்கு உதவித் தொகை உட்பட சலுகையையும் உறுதி செய்ய வேண்டும்
tag_07879_02027385592	மே மூன்று பத்திரிக்கை சுதந்திர தினம்
tag_07925_00432445202	தினப் பொருத்தம் என்பது என்ன?
tag_07925_00655738238	இந்தியக் குடியரசுத் தலைவர் தேர்தலில் பிரணாப் முகர்ஜி வெற்றி
tag_08228_00804817310	கோடீசுவரர்களை உருவாக்க வாய்ப்புள்ள நாடுகள் வரிசையில் இந்தியா நான்காவது இடத்தில்
tag_08228_01023543758	சிமெண்ட் செங்கல் இல்லாமல் வீடு கட்டும் நவீன முறை அறிமுகமாகும்
tag_08228_01535687192	கணையாழி கலை இலக்கிய இதழ் மீண்டும் வெளிவரத் தொடங்கியது
tag_09162_00610556536	லிபியாவில் தனது நடவடிக்கைகளை நிறுத்த ஐநா பாதுகாப்புச் சபை முடிவு
tag_09674_00940235564	முதலாவது இளையர் ஒலிம்பிக் போட்டிகள் சிங்கப்பூரில் ஆரம்பம்
