sentence	sentence_id	locale	reason
சக்கர நெறி நில்.	0f9c4c1710f417469fe29e8cc3eafcfb80ff684410952acf7bead63ea5696700	ta	offensive-language
விறகின் கட்டை வீணே; ஏனெனில்	2a8dbedae10c77dfa5b5f22c61e73467a00d605cb9a8e5cf73c26a6f3a65f220	ta	offensive-language
விறகின் கட்டை வீணே; ஏனெனில்	2a8dbedae10c77dfa5b5f22c61e73467a00d605cb9a8e5cf73c26a6f3a65f220	ta	grammar-or-spelling
தமிழ்மொழியிற் பெயர்த்தல் வேண்டும	0c4f7058522baaa2f7d5703f2eb02f0bd8d9c58f576bc9ad0fe32ca67445f95d	ta	grammar-or-spelling
"""மனதை விடாதீர் மணாளரே காதில்"	1db43af41b5ebc57a8e114c59080180786a87d7c1ccd85aa962203685eb8adf0	ta	difficult-pronounce
ஏழைமுத லாளியென்ப தில்லாமற்செய்	02d4a3766f5d18a82b7210b46d4499136bf2885f2c961148a9cba32863c4e99c	ta	difficult-pronounce
மானிடருக் கினி தாக - இங்கு	00afa040d756ae7b954c60798160d6b594f14e3fae8ed1843a12b1cc4c93c2fc	ta	difficult-pronounce
காதலினால் நடக்கும் - பெண்கள்	41cee9a9cf051492c97bc62b68f28b4266d9b95c1e9035bcc0c027701b1d01eb	ta	offensive-language
வேளையில் அங்கொரு வாள்விழி கொண்டவள்	1c34038e41319fe0404e70b477c1afcc83ca94fdaa0e1644ff401c98bc16d7d0	ta	different-language
கூடித் தொழில்செய்தோர் கொள்ளைலா பம்பெற்றார்	423c6688c80d770a2490c154bc18c013e585628a19c3a0bd9ffc667ea6503d17	ta	grammar-or-spelling
இந்தாரு இப்படியே பண்ணிட்டு இருந்தா நா டென்ஷன் ஆகிடுவன் பாத்துக்கோ.	01b216b36efef400bacc33b68256eabe511074b1c3eaf0483621d76eacee2a5f	ta	grammar-or-spelling
வாடும்.	83e2cc8924c275a2f2e83003a367d75310c841131fda31554123a8dcfb739762	ta	It tells audio is short..but the word itself is short...
மன்னர்கள்:	78f0efdd9b9dc84a9a900820ba15b3fb2e099d5b7c6273d7063cdcea93eb4890	ta	Tells audio is short..but the word itself is short
இப்புவி அவாவிற் றென்ற	7f6a5e114c94eca4f2fd692ee5b5a8a082bb7c03485e940586952c37bb3147fa	ta	difficult-pronounce
திருக்குறள் என்னும் ஒரு நூல் தோன்றியிராவிட்டால், தமிழ்மொழி என்னும் ஒரு மொழி இருப்பதாக, உலகத்தார்க்குத் தெரிந்திருக்காது.	8f3ca917077ac5070b294f08363e7d34bca01aa26309467622cb95de93bf0d80	ta	?????? ?????
கிப்படி யெல்லாம் எரிச்சலுண் டாக்குதல்	83edc260d2a873485b9b35d4a4dc33c7a032c963cffd07f7ffec575d0a85908b	ta	grammar-or-spelling
றின்னொரு வாலிபனை	a7e8cd68f7de96cd41940cce1364f31071ab43bfab3874f93030aa73ea2d5c45	ta	"???????? ???????? ????
"
எனக்கு ஒரு கம்யூட்டர், அப்புறம் ஒரு ஐபேட் வேணும்.	af9fc33fb62626c24aa1bb654150820af7df132cc1a1ec4799477e8b4708daff	ta	different-language
வந்தார்கள். அங்கோர் மரத்து நிழலிலே	8be699af3122b8af270ba0e5b3ec6d9b4a92a601ebc93b0f2735bc3cae1d1ca7	ta	??????? ??????? ?????? 
அந்த நேரம் அங்குநின் றிருந்த	94218219c68119938b21ac35f11a0ff79b65c9733380376a1112764ef4c8c70b	ta	grammar-or-spelling
அந்த நேரம் அங்குநின் றிருந்த	94218219c68119938b21ac35f11a0ff79b65c9733380376a1112764ef4c8c70b	ta	offensive-language
றின்னொரு வாலிபனை	a7e8cd68f7de96cd41940cce1364f31071ab43bfab3874f93030aa73ea2d5c45	ta	difficult-pronounce
கீர்த்தி யுரைத்திட வார்த்தை கிடைக்கிலை தோழா - நலம்	daf0f82bc61521773f7694713da4d09bcf39f33e3bb6faaad5d599ddad7ec1c6	ta	grammar-or-spelling
"என்றனள். சுந்தரன் ""என்னுளத்தைக் - கள்ளி!"	27147f50ef32daa98759e11b420c68a8fbfefa1fd7dc37802ee9e6d8023a44bf	ta	grammar-or-spelling
மொய்க்கும் கொசுக்களால் மூடுண் டிருந்தார்.	f0f69043f584ffd3563402239980f11537eb357908a40ead66f7efb6d296258f	ta	grammar-or-spelling
சாதல் அடைவதும் காதலிலே - ஒரு	28e1eec435b5be9f43cf59e1e5bf597797fedb907053eda7ad9f3379bdb58eb3	ta	grammar-or-spelling
ஊர்த்தொழி லாளர் உழைத்த உழைப்பில்	ff048ecb63fe0144789c90c657ae675a988ef6b2d6834885b477d17e1161de50	ta	grammar-or-spelling
பகுத்தறிவு மன்றத்தில் உலகம்என்ற	1d6f0ba2ad8867c7e59c98b04d3a60a33367e4e1a1bc184890fbe912690d4ed7	ta	grammar-or-spelling
